Marker,Jour,Mois,Année,Plongeur,Début - lat.,Début - long.,Fin - lat.,Fin - long.,Depth,Site,Transect,section,SEX,SIZE,Escape,Sa,Va,Du,Al,Co,Gr,Ca,type,commentaire,fond,,
1,23,8,2007,Fsavoie,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,1,,,,,,,,,,,Simple,,,,
2,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,2,,,,,,,,,,,Simple,,,,
3,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,3,,,,,,,,,,,Simple,LS,,,
4,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,4,,,,,,,,,,,Simple,,,,
5,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,5,,,,,,,,,,,Simple,,,,
6,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,6,,,,,,,,,,,Simple,,,,
7,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,7,,,,,,,,,,,Simple,,,,
8,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,8,,,,,,,,,,,Simple,,,,
9,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,9,,,,,,,,,,,Simple,,,,
10,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,10,,,,,,,,,,,Simple,,,,
11,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,11,,,,,,,,,,,Simple,,,,
12,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,12,,,,,,,,,,,Simple,,,,
13,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,13,,,,,,,,,,,Simple,,,,
14,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,14,m,45,,,,,,,,,Simple,,,,
15,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,15,m,52,,,,,,,,,Simple,,,,
16,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,16,m,67,,,,,,,,,Simple,,,,
17,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,17,,,,,,,,,,,Simple,,,,
18,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,18,m,63,,,,,,,,,Simple,,,,
19,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,19,,,,,,,,,,,Simple,,,,
20,23,8,2007,Dgiard,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,20,,,,,,,,,,,Simple,,,,
21,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,1,b1,75,,,,,,,,,Simple,,,,
22,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,2,,,,,,,,,,,Simple,,,,
23,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,3,,,,,,,,,,,Simple,,,,
24,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,4,,,,,,,,,,,Simple,,,,
25,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,5,,,,,,,,,,,Simple,,,,
26,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,6,,,,,,,,,,,Simple,,,,
27,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,7,,,,,,,,,,,Simple,,,,
28,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,9,,,,,,,,,,,Simple,,,,
29,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,10,,,,,,,,,,,Simple,,,,
30,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,11,,,,,,,,,,,Simple,,,,
31,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,12,,,,,,,,,,,Simple,,,,
32,23,8,2007,Bcomeau,4552.954,6327.644,4552.967,6327.719,28,FH,L1-T1,13,,,,,,,,,,,Simple,,,,
